Name,Weapon,Class,Ability Tree,AP,Purpose,Type,Hit Type,Target Type,Attack Type,Applied Vulnerability,Applied Status,Anima Deviation,Cast Time,Cooldown,Augments,Affects,Indirect Affects,Description
Pistol Love,Pistol,Ranged,Troubleshooting,50,,Active - Elite,,,,,,,1000,25000,"Damage, Support",,,"Cleanses the defensive target of all detrimental effects. After cleansing, the target cannot be Weakened, Hindered or Impaired for 10 seconds, and gains a laser drone that attacks up to 6 enemies within 5 metres, dealing 79 physical damage every 2.5 seconds for 10 seconds."
Exploitation,Pistol,Ranged,Trajectionist,9,,Passive,,,,,,,N/A,N/A,N/A,Critical Hit,Hindered,"Whenever you hit a Hindered target or critically hit, there is a 33% chance you also cleanse 1 detrimental effect from yourself."
Backup Drone,Pistol,Ranged,Trajectionist,12,,Active,,,,,,,1000,90000,Support,,,"Summons a drone that will follow the defensive target for 15 seconds. Gives the target a beneficial effect that increases the effectiveness of healing, leeching and barrier effects received by 30%. Every second the drone will heal the defensive target for Y."
Advantage Me,Pistol,Ranged,Trajectionist,16,,Passive,,,,,,,N/A,N/A,N/A,Critical Hit,,"Whenever you critically hit you also gain a heal over time effect, healing for 10 every seconds for 5 seconds. Whenever you critically heal, you cleanse 1 detrimental effect from your defensive target. This can only happen once per target every 2 seconds."
Sticky Drone,Pistol,Ranged,Trajectionist,21,,Active,,,,,,,1000,40000,Support,,,"Summons a drone that will follow you around for 40 seconds. You gain a beneficial effect that causes the next 2 attacks against you to backfire, causing the attacker to become Hindered and rooted to the ground for 4 seconds."
Tough Luck,Pistol,Ranged,Trajectionist,27,,Passive,,,,,,,N/A,N/A,N/A,Critical Hit,,"Whenever you critically hit, you also cause the target to become Hindered and rooted to the ground for 4 seconds. This can only happen once every 30 seconds."
Win-Win (ability),Pistol,Ranged,Trajectionist,34,,Active,,,,,,,500,45000,"Support, Healing",,,PBAoE: Affects you and up to 5 friends in a 15 metre radius around you. A PBAoE that heals for 55 and cleanses 2 detrimental effects.
Contortionist,Pistol,Ranged,Trajectionist,50,,Passive - Elite,,,,,,,N/A,N/A,N/A,Heal,,"Increases all heal. barrier, and leech effects by 10%. Also, whenever your are Hindered or Impaired, you will immediately remove all detrimental effects. This can only happen every 25 seconds."
Greater Good,Pistol,Ranged,Positive Reinforcement,9,,Active,,,,,,,0,90000,Support,,,"Gives all group members a beneficial effect, which increases the effectiveness of all healing barriers and leeches done by 15% for 10 seconds. This ability does not trigger and is not affected by global recharge time."
Utilitarianism,Pistol,Ranged,Positive Reinforcement,12,,Passive,,,,,,,N/A,N/A,N/A,Greater Good,,"Increases the duration of ""Greater Good"" by 5 seconds. Additionally, while ""Greater Good"" is active, all group members gain a heal over time effect that heals for 60 or 1.5% every second, whichever is larger. This value is not affected by your healing power or any other heal increasing effects."
Health Drone,Pistol,Ranged,Positive Reinforcement,16,,Active - Consumer,,,,,,,1000,4000,"Support, Healing",,,"Consumes all Pistol Resources. Summons a drone that will follow you for 7 seconds. While the drone will not heal you, it will heal allies every second for 16 - 26 with a Chain heal that can jump to up to 6 nearby friends in a 8 metre area around you. Heal scales based on the number of resources consumed."
Chain Feed,Pistol,Ranged,Positive Reinforcement,21,,Passive,,,,,,,N/A,N/A,N/A,Chain,,Chain abilities are 10% more effective.
Cleansing Drone,Pistol,Ranged,Positive Reinforcement,27,,Active - Consumer,,,,,,,1000,4000,"Damage, Support",,,"Consumes all Pistol Resources. Summons a drone that will follow the target for 4 seconds. Every second it will attack the target dealing 19 - 37 physical damage, based on the number of resources consumed, and cleanse 1 detrimental effect from up to 4 friends in a 5 metre area around the target. If the target is Hindered when the drone is summoned, it will instead cleanse 2 detrimental effects."
Drone Support,Pistol,Ranged,Positive Reinforcement,34,,Passive,,,,,,,N/A,N/A,N/A,Cleansing Drone,,"Heals all group members for 8 when ""Cleansing Drone"" attempts to cleanse. Targets cannot be Weakened for 2 seconds."
Born Leader,Pistol,Ranged,Positive Reinforcement,50,,Active - Elite,,,,,,,1000,25000,"Damage, Support, Healing",,,"GTAoE: Affects up to 6 friends and 6 enemies in a 10 metre radius around the targeted point, pulsing every second for 5 seconds. A pulsing GTAoE attack that lasts 5 seconds. Up to 6 allies in the area are healed for 66 every second. Up to 6 enemies in a 10 metre radius will be dealt 60 physical damage. Affected targets also become Weakened by a single stack of the Corrupted effect, which reduces the effectiveness of heal, barrier and leech effects by 5% per stack for 10 seconds. This effect can stack up to 10 times."
Safety Off,Assault Rifle,Ranged,Engage,1,Damage,Active - Builder,Multi Hit,Single Target,Burst,None,,No,1000,0,Damage,,,"Builds 1 resource for each equipped weapon. A single target Burst attack that hits 3 times, dealing 16 physical damage per hit."
Extra Bullet,Assault Rifle,Ranged,Engage,1,Damage,Passive,N/A,N/A,N/A,None,,No,N/A,N/A,N/A,Safety Off,,"""Safety Off"" performs an additional hit that deals 7 physical damage."
Fire at Will,Assault Rifle,Ranged,Engage,1,Damage,Active - Consumer,Multi Hit,TAoE,Frenzy,None,,No,1000,4000,Damage,,,"TAoE: Affects up to 6 enemies in a 5 metre radius around the target. Consumes all Assault Rifle Resources. A TAoE Frenzy ability that deals 35 physical damage. An additional hit is performed for each Assault Rifle Resource consumed, dealing 11 physical damage per hit."
No Contest,Assault Rifle,Ranged,Engage,2,Self-Buff,Passive,N/A,N/A,N/A,None,,No,N/A,N/A,N/A,,,"Whenever you apply Hindered, the next hit you perform cannot be evaded and you gain a beneficial effect which increases damage dealt by 10% for 8 seconds."
Trigger Happy,Assault Rifle,Ranged,Engage,3,Damage,Active - Builder,Single Hit,Single Target,Normal,None,,No,1000,0,Damage,,,"Builds 1 resource for each equipped weapon. A single target attack that deals 49 physical damage. If the target is Hindered, it also becomes Afflicted with a damage over time effect that deals 3 physical damage every second for 5 seconds."
Eagle Eye,Assault Rifle,Ranged,Engage,4,Self-Buff,Passive,N/A,N/A,N/A,None,,No,N/A,N/A,N/A,,,Increases direct damage and healing of Assault Rifle abilities by 10%.
Slow the Advance,Assault Rifle,Ranged,Engage,7,Damage,Active - Elite,Single Hit,GTAoE,Normal,None,Hindered,Yes,1000,25000,"Damage, Support",,,GTAoE: Affects up to 6 enemies in a 5 metre radius around the targeted point. A GTAoE that deals 279 physical damage. Affected targets also become Hindered and their movement speed is reduced by 70% for 8 seconds. Also places an area at the targeted point that lasts 8 seconds. Every second it will deal 10 physical damage to up to 6 enemies in a 5 metre radius. Susceptible to Anima Deviation.
Military Code,Assault Rifle,Ranged,Support,1,Self-Buff,Passive,N/A,N/A,N/A,None,,No,N/A,N/A,N/A,,,"Whenever an enemy dies with your Assault Rifle Resources remaining, you gain a beneficial effect that causes your next Assault Rifle resource builder to build 2 additional Assault Rifle Resources."
Anima Shot,Assault Rifle,Ranged,Support,1,Damage,Active - Builder,Single Hit,Single Target,Normal,None,,No,1000,0,"Damage, Healing",,,Builds 1 Assault Rifle Resource. A single target attack that deals 38 physical damage. You heal your defensive target for 27 and 7.1% of the damage dealt.
Anima Boost,Assault Rifle,Ranged,Support,1,Self-Buff,Passive,N/A,N/A,N/A,None,,No,N/A,N/A,N/A,Anima Shot,,"Increases the damage dealt, leech, and heal of ""Anima Shot"" by 7.5%."
Lock & Load,Assault Rifle,Ranged,Support,2,Self-Buff,Active,N/A,N/A,N/A,None,,No,0,25000,Support,,,Builds 3 Assault Rifle Resources. Reduces the recharge time of all Assault Rifle resource consumers currently recharging by 4 seconds. This ability does not trigger and is not affected by global recharge time.
Extra Clip,Assault Rifle,Ranged,Support,3,Self-Buff,Passive,N/A,N/A,N/A,None,,No,N/A,N/A,N/A,Lock & Load,,"""Lock & Load"" builds 2 additional Assault Rifle Resources."
Fire in the Hole,Assault Rifle,Ranged,Support,4,Damage,Active - Consumer,Single Hit,Single Target,Normal,None,,No,1000,4000,Damage,,,"Consumes all Assault Rifle Resources. Sticks a spiked grenade to the target which deals 46 - 91 physical damage and then detonates 2 seconds later dealing 46 - 91 physical damage, based on the number of resources consumed."
Experience,Assault Rifle,Ranged,Support,7,Self-Buff,Passive - Elite,N/A,N/A,N/A,None,,No,N/A,N/A,N/A,,,Increases the effectiveness of all leech effects by 20%.
Three Round Burst,Assault Rifle,Ranged,Take Point,9,Damage,Active - Consumer,Multi Hit,Single Target,Burst,None,None,No,1000,4000,Damage,,,"Consumes all Assault Rifle Resources. A single target Burst attack that hits 3 times, dealing 30 - 60 physical damage per hit, based on the number of resources consumed."
Call Your Shots,Assault Rifle,Ranged,Take Point,12,Self-Buff,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,,,"Whenever you hit, you gain a single stack of the Hit Rating effect, which increases your Hit Rating by 40 for 8 seconds per stack. The Hit Rating effect can stack up to 5 times. Whenever you glance, this effect is removed."
Hip Fire,Assault Rifle,Ranged,Take Point,16,Damage,Active - Builder,Single Hit,Single Target,Normal,None,None,No,1000,0,Damage,,,Builds 1 resource for each equipped weapon. A single target attack that deals 49 physical damage. This ability has a 10 metre range.
Steady Hip Fire,Assault Rifle,Ranged,Take Point,21,Self-Buff,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Hip Fire,,"Increases the range of ""Hip Fire"" by 10 metres."
Where it Hurts,Assault Rifle,Ranged,Take Point,27,Damage,Active - Consumer,Single Hit,Single Target,Normal,None,None,No,1000,12000,Damage,,,"Consumes all Assault Rifle Resources. A single target attack that deals 90 - 182 physical damage, based on the number of resource consumed. If you hit an Afflicted target, the target becomes Hindered and its movement speed is reduced by 70% for 4 seconds."
Short Controlled Bursts,Assault Rifle,Ranged,Take Point,34,Self-Buff,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,,,"Increases Hit Rating for Burst attacks by 200. In addition, the Critical Chance and Penetration Chance of all Burst attacks is increased by 4%."
Red Mist,Assault Rifle,Ranged,Take Point,50,Damage,Active - Elite,Single Hit,Single Target,Normal,Magic,None,No,2000,20000,"Damage, Support",,,A single target attack that deals 439 physical damage. This attack cannot be evaded and will not glance. Applies Vulnerable to Magic.
Lucky Bullet,Assault Rifle,Ranged,Heavy Fire,9,Self-Buff,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,,,"Whenever you hit, you build a Lucky Bullet counter. Once that counter reaches 6, your next attack causes the target to become Hindered and its movement speed is reduced by 70% for 8 seconds. This effect has an internal recharge time of 30 seconds."
Tactical Retreat,Assault Rifle,Ranged,Heavy Fire,12,Mobility,Active,Multi Hit,Column,Normal,None,Hindered,No,1000,25000,"Damage, Support",,,"Column Dash: Dash backward 10 metres, affecting all enemies in a 6 metre wide column along the way. A column dash attack causing affected targets to become Hindered and reducing their movement speed by 70% for 4 seconds. A grenade is also left at the start location that affects up to 6 enemies, exploding 1.5 seconds after the dash, dealing 77 physical damage in an area around it causing affected targets to become Hindered, reducing their movement speed by 70% for 4 seconds."
Lethality,Assault Rifle,Ranged,Heavy Fire,16,Self-Buff,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,,,"Whenever you hit, you gain a single stack of a beneficial effect that increases all damage dealt by 1.25% per stack for 10 seconds. This effect can stack up to 10 times. Whenever you glance, all stacks are removed."
Razor Wire,Assault Rifle,Ranged,Heavy Fire,21,Mobility,Active,N/A,N/A,N/A,None,None,No,1000,60000,Support,,,You place a 10 metre wide by 2 metre long area in front of you that lasts 10 seconds and dash backwards 10 metres. Any enemies passing through the area have their movement speed reduced by 30%.
Explosives Expert,Assault Rifle,Ranged,Heavy Fire,27,Self-Buff,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,,,"Whenever you hit, you also apply an explosive charge to the target. This charge expodes after 3 seconds, dealing X physical damage."
Incendiary Grenade,Assault Rifle,Ranged,Heavy Fire,34,Damage,Active,Single Hit,TAoE,Normal,None,Afflicted,No,500,25000,"Damage, Support",,,TAoE: Affects up to 6 enemies in a 5 metre radius around your target. A TAoE attack that deals 30 physical damage. Affected targets become Afflicted with a damage over time effect that deals 3 damage every second for 10 seconds.
"Demolition, Man",Assault Rifle,Ranged,Heavy Fire,50,Self-Buff,Passive - Elite,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,,,"Whenever you use a resource consuming ability, you also apply an explosive charge to the target. Charges can be applied to up to 6 enemies. This charge detonates after 3 seconds, dealing 94 physical damage if you are facing the target when the explosion occurs, or 125 physical damage and will not glance if you are facing away from the target when the explosion occurs. This effect has an internal recharge time of 5 seconds."
Suppressing Fire,Assault Rifle,Ranged,Bombardment,9,,Active - Builder,,,,,,,1000,0,Damage,,,Channelled: Every 0.25 seconds for 1 seconds. TAoE: Affects up to 6 enemies in a 5 metre radius around your target. Builds 1 Resource on each affected enemy and one on self for secondary weapons. A channelled TAoE Frenzy attack that deals 20 physical damage on the first hit and 2 physical damage on each subsequent hit.
Sharp Shooter,Assault Rifle,Ranged,Bombardment,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit a target that is further than 12 metres from you, you also perform an additional hit dealing 7 physical damage to the target."
Frag Grenade,Assault Rifle,Ranged,Bombardment,16,,Active - Consumer,,,,,,,1000,4000,Damage,,,"TAoE: Affects up to 6 enemies in a 5 metre radius around your target. Consumes all Assault Rifle Resources. A TAoE attack that deals 45 - 90 physical damage. If you hit a Hindered target, an explosion centred around that target is triggered, dealing 9 - 18 physical damage. Damage scales based on the number of resources consumed."
Shoot 'Em Up,Assault Rifle,Ranged,Bombardment,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit with a Frenzy ability, the target also becomes Afflicted with a damage over time effect that deals 7 physical damage every second for 5 seconds."
High Explosive Grenade,Assault Rifle,Ranged,Bombardment,27,,Active - Consumer,,,,,,,1000,4000,Damage,,,"TAoE: Affects up to 6 enemies in a 5 metre radius around your target. Consumes all Assault Rifle Resources. A TAoE attack that deals 44 - 87 physical damage, or 55 - 109 physical damage to targets that are Afflicted. Damage scales based on the number of resources consumed."
Accuracy,Assault Rifle,Ranged,Bombardment,34,,Passive,,,,,,,N/A,N/A,N/A,,,Increases direct damage dealt by 7% and increases Hit Rating by 75.
Shellshocker,Assault Rifle,Ranged,Bombardment,50,,Active - Elite,,,,,,,2000,25000,"Damage, Support",,,Channelled: Every 0.25 seconds for 2 seconds. Column: Affects up to 6 enemies in a 4 metre wide by 12 metre long column in front of you. A channelled column attack that deals 66 physical damage per hit. Affected targets become Hindered and their movement speed is reduced by 70% for 8 seconds. Applies Vulnerable to Melee. Susceptible to Anima Deviation.
Shot of Anima,Assault Rifle,Ranged,Squad Duty,9,"Damage, Heal",Active - Consumer,,,,,,,1000,4000,"Damage, Healing",,,"Consumes all Assault Rifle Resources. A single target attack that deals 10 physical damage and heals your defensive target for 80 - 158, based on the number of resources consumed. Also gives a 1.6% leech effect to the defensive target for 5 seconds."
Increased Dosage,Assault Rifle,Ranged,Squad Duty,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Improves ""Shot of Anima"" to heal for 118 - 196, but no longer grant a leech effect."
Anima Burst,Assault Rifle,Ranged,Squad Duty,16,,Active - Builder,,,,,,,1000,0,"Damage, Healing",,,"Builds 1 Assault Rifle Resource. A Burst attack that hits 3 times, dealing 11 physical damage per hit. Heals the defensive target for 35 and 10.1% of the damage dealt."
Improved Bursts,Assault Rifle,Ranged,Squad Duty,21,,Passive,,,,,,,N/A,N/A,N/A,,,All your Burst abilities are 10% more effective.
Transfuse Anima,Assault Rifle,Ranged,Squad Duty,27,,Active - Consumer,,,,,,,1000,4000,"Damage, Healing",,,"Consumes all Assault Rifle Resources. A single target attack that deals 79 - 170 physical damage, based on the number of resources consumed. Heals the defensive target for 7.1% of the damage dealt. If the target is Hindered, the defensive target also gains a 2% leech effect for 10 seconds."
Shadow Medic,Assault Rifle,Ranged,Squad Duty,34,,Passive,,,,,,,N/A,N/A,N/A,,,All you healing abilites are 7.5% more effective.
Re-Animator,Assault Rifle,Ranged,Squad Duty,50,,Active - Elite,,,,,,,1500,20000,"Support, Healing",,,"Channelled: Every 0.3 seconds for 1.5 seconds. A channelled heal that heals for 100. While channeling this ability, your target is unable to be killed. When this ability finishes channeling, you gain a beneficial effect which increases the effectiveness of all leech abilities by 20% for 6 seconds."
Leech Therapy,Assault Rifle,Ranged,Support Team,9,,Passive,,,,,,,N/A,N/A,N/A,,,"Your leech abilities also trigger a PBAoE heal if the target is Afflicted. This affects up to 6 friends in a 5 metre area around you, healing for 8."
Energise,Assault Rifle,Ranged,Support Team,12,,Active,,,,,,,0,60000,Support,,,Increases the effectiveness of all leech abilities by 40% for 10 seconds. This ability does not trigger and is not affected by global recharge time.
Anticoagulant,Assault Rifle,Ranged,Support Team,16,,Passive,,,,,,,N/A,N/A,N/A,,,Your damaging leech abilities also cause your target to become Afflicted with a damage over time effect that deals 10 physical damage every seconds for 5 seconds.
Platoon,Assault Rifle,Ranged,Support Team,21,,Active,,,,,,,1000,30000,"Support, Healing",,,Heals all group members for 35.
Post-op,Assault Rifle,Ranged,Support Team,27,,Passive,,,,,,,N/A,N/A,N/A,,,All your leech effects also heal for 19 when they expire.
Mortar Support,Assault Rifle,Ranged,Support Team,34,,Active,,,,,,,2000,20000,"Support, Healing",,,A TAoE heal that heal for 106.
Veteran,Assault Rifle,Ranged,Support Team,50,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,"Whenever you use a leech ability, you gain a counter. When the counter reaches 7, all group members are healed for 52 and gain a 2.6% leech effect for 4 seconds."
Groundwork,Assault Rifle,Ranged,Ground Control,9,,Active - Builder,,,,,,,1000,0,"Damage, Healing",,,TAoE: Affects up to 6 enemies in a 5 metre radius around your target. Builds 1 Assault Rifle Resource. A TAoE attack that deals 18 physical damage. Up to 6 friends in the target area receive a 0.3% leech effect for 10 seconds.
Improved Groundwork,Assault Rifle,Ranged,Ground Control,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Improves ""Groundwork"" to also heal friendly targets that have active leech effect for 7."
Anima Outbreak,Assault Rifle,Ranged,Ground Control,16,,Active - Consumer,,,,,,,1000,4000,"Damage, Healing",,,TAoE: Affects up to 6 enemies in a 5 metre radius around your target. Consumes all Assault Rifle Resources. A TAoE Frenzy ability that deals 18 - 36 physical damage. Up to 6 friendly targets around each enemy hit are healed for 37 - 74. Damage and healing scale based on the number of resources consumed.
Outbreak Alert,Assault Rifle,Ranged,Ground Control,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Heals all group members for 15 when you activate ""Anima Outbreak""."
Anima Vessel,Assault Rifle,Ranged,Ground Control,27,,Active - Consumer,,,,,,,1000,10000,"Damage, Healing",,,"Consumes all Assault Rifle Resources. A single target attack that deals 57 - 113 physical damage, based on the number of resources consumed. An effect is placed on the target that returns health to everyone who attacks them for 6 seconds. If the target is Afflicted, the amount of health gained is increased."
Leeching Frenzy,Assault Rifle,Ranged,Ground Control,34,,Passive,,,,,,,N/A,N/A,N/A,,,Frenzy abilities also place a leech effect on yourself which lasts 4 seconds causing any attacks to heal for 2.0% of the damage dealt.
Reap and Sew,Assault Rifle,Ranged,Ground Control,50,,Active - Elite,,,,,,,1000,60000,"Support, Healing",,,Grants a 12.2% leech effect that lasts 8 seconds. All group members also receive a leech effect for the same duration which scales based on their Healing Power. Healing from Reap and Sew will be given to each group member's defensive target.
Delicate Strike,Blade,Melee,Method,1,,Active - Builder,,,,,,,1000,0,Damage,,,Builds 1 resource for each equipped weapon. A single target attack that deals 49 physical damage.
Delicate Precision,Blade,Melee,Method,1,,Passive,,,,,,,N/A,N/A,N/A,,,"Increases the Penetration Chance of ""Delicate Strike"" by 10%."
Balanced Blade,Blade,Melee,Method,1,,Active - Consumer,,,,,,,1000,0,Damage,,,"PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Consumes all Blade Resources. A PBAoE attack that deals 45 - 90 physical damage, based on the number of resources consumed. Builds 2 Blade Resources if any affected targets are Impaired."
Expose Weakness,Blade,Melee,Method,2,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you apply Impaired, you gain the Minor Penetration Chance effect, which increases your Penetration Chance by 15% for 8 seconds."
Dancing Blade,Blade,Melee,Method,3,,Active - Consumer,,,,,,,2500,0,Damage,,,"Channelled: Every 0.5 seconds for 2.5 seconds. Consumes all Blade Resources. A channelled Focus attack that deals 41 - 62 physical damage per hit, based on the number of resources consumed."
Sharp Blades,Blade,Melee,Method,4,,Passive,,,,,,,N/A,N/A,N/A,,,Increases direct damage dealt by Blade abilities by 10%.
Stunning Swirl,Blade,Melee,Method,7,,Active - Elite,,,,,,,1000,25000,"Damage, Support",,,PBAoE: Affects up to 6 enemies in a 5 metre radius around you. A PBAoE attack that deals 348 physical damage. Affected targets also become Impaired and unable to act for 3 seconds. Applies Vulnerable to Ranged.
Immortal Spirit,Blade,Melee,Technique,1,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you penetrate, you gain a heal over time effect that heals for 10 every seconds for 5 seconds."
Blade Torrent,Blade,Melee,Technique,1,,Active - Builder,,,,,,,1000,0,"Damage, Survivability",,,PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Builds 1 resource for each equipped weapon. A PBAoE Frenzy ability that deals 24 physical damage. This attack generates a high amount of hate.
Perfect Storm,Blade,Melee,Technique,1,,Passive,,,,,,,N/A,N/A,N/A,,,"""Blade Torrent"" also causes the target to become Afflicted with a damage over time effect that deals 7 physical damage every seconds for 8 seconds."
Martial Discipline,Blade,Melee,Technique,2,,Active,,,,,,,0,45000,"Support, Survivability",,,"You gain the Major Defence effect, which increases the chance that attacks against you will glance by 50% for 6 seconds. This ability does not trigger and is not affected by global recharge time."
Regeneration,Blade,Melee,Technique,3,,Passive,,,,,,,N/A,N/A,N/A,,,"""Martial Discipline"" also gives you a heal over time effect, which heals 58 every second for 10 seconds. This heal over time effect cannot critically heal."
Surging Blades,Blade,Melee,Technique,4,,Active,,,,,,,1000,12000,"Damage, Support",,,"Column Dash: Dash forward 10 metres, affecting up to 6 enemies in a 6 metre wide column along the way. A column dash attack that deals 48 physical damage."
Fluid Defence,Blade,Melee,Technique,7,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,"Whenever you receive a glancing hit, you gain the Major Ward effect, which reduces the damage you take by 25% for 6 seconds. Whenever you penetrate, you gain a beneficial effect that increases all damage dealt by 8% for 10 seconds."
Grass Cutter,Blade,Melee,Wind through Grass,9,,Active - Builder,,,,,,,1000,0,Damage,,,"Builds 1 resource for each equipped weapon. A single target attack that deals 47 physical damage, or 52 physical damage if the target is Afflicted."
Twist the Knife,Blade,Melee,Wind through Grass,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you penetrate you also gain 1 stack of a beneficial effect, which increase all damage dealt by 4% for 10 seconds. This effect can stack up to 3 times."
Chop Shop,Blade,Melee,Wind through Grass,16,,Active - Consumer,,,,,,,2500,0,Damage,,,"Channelled: Every 0.5 seconds for 2.5 seconds. PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Consumes all Blade Resources. A channelled PBAoE Focus attack that deals 21 - 31 physical damage per hit, based on the number of resources consumed."
Seven and a Half Samurai,Blade,Melee,Wind through Grass,21,,Passive,,,,,,,N/A,N/A,N/A,,,Focus abilities are 10% more effective.
Destiny,Blade,Melee,Wind through Grass,27,,Active - Consumer,,,,,,,1000,0,Damage,,,"Consumes all Blade Resources. A single target attack that deals 56 - 145 physical damage, based on the number of resources consumed. If the target is Afflicted, it also applies a damage over time effect that deals 12 physical damage every second for 4 seconds."
Destiny Fulfilled,Blade,Melee,Wind through Grass,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit a target that has the damage over time effect from ""Destiny,"" the effect is removed, dealing 79 physical damage."
Four Seasons,Blade,Melee,Wind through Grass,50,,Active - Elite,,,,,,,2500,20000,"Damage, Support",,,Channelled: Every 0.5 seconds for 2.5 seconds. A channelled attack that deals 45 physical damage per hit for the first four hits. The final hit deals 257 physical damage. All hits will penetrate. This ability has a 15 metre range. Applies Vulnerable to Magic.
Fatal Flourish,Blade,Melee,Tearing of Sky,9,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you finish activating an ability on a target you have Afflicted, you build a Fatal Flourish counter. As soon as you reach 5 counters, the count will reset and you will gain beneficial effect which increases your Penetration Chance 20% for 5 seconds. Fatal Flourish counters cannot be gained while this effect is active."
Spiral of Death,Blade,Melee,Tearing of Sky,12,,Active,,,,,,,1000,15000,"Damage, Support",,,"You teleport to the target and hit up to 6 enemies in a 5 metre radius, dealing 61 physical damage and you gain the Minor Defence effect, which increases the chance that attacks against you will glance by 10% for 8 seconds. The target must be at least 4 metres away."
Incision,Blade,Melee,Tearing of Sky,16,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you penetrate, you also cause the target to become Afflicted with a damage over time effect that deals 11 physical damage very second for 3 seconds."
Trial by Swords,Blade,Melee,Tearing of Sky,21,,Active,,,,,,,1000,45000,"Damage, Support",,,A single target attack that deals 91 physical damage and causes the target to become Impaired and unable to act for 3 seconds.
Double Dash,Blade,Melee,Tearing of Sky,27,,Passive,,,,,,,N/A,N/A,N/A,,,Reduces the recharge time of all dash abilities by 50%.
Steel Echo,Blade,Melee,Tearing of Sky,34,,Active,,,,,,,0,60000,"Damage, Support",,,You gain a beneficial effect that causes all your Blade attacks for 10 seconds to perform an additional hit dealing 31 physical damage. This additional hit is treated as a full hit. This ability does not trigger and is not affected by global recharge time.
Flight of Daggers,Blade,Melee,Tearing of Sky,50,,Passive - Elite,,,,,,,N/A,N/A,,,,"Whenever you hit, you build a Flight of Daggers counter. When the counter reaches 5, you will hit up to 6 enemies in a 5 metre radius around you, dealing 42 physical damage. Affected targets also become Afflicted with a damage over time effect that deals 8 physical damage every second for 5 seconds."
Bamboo Cutter,Blade,Melee,Crossing River's Edge,9,,Active - Builder,,,,,,,1000,0,Damage,,,PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Builds 1 resource for each equipped weapon. A PBAoE Frenzy ability that deals 24 physical damage.
Sudden Return,Blade,Melee,Crossing River's Edge,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you penetrate, you also perform an additional hit that deals 28 physical damage."
Five Petal Lotus,Blade,Melee,Crossing River's Edge,16,,Active - Consumer,,,,,,,1000,0,Damage,,,"TAoE: Affects up to 6 enemies in a 5 metre radius around the target. Consumes all Blade Resources. A TAoE attack that deals 45 - 90 physical damage, based on the number of resources consumed."
Fortunate Strike,Blade,Melee,Crossing River's Edge,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit an afflicted target, there is a 10% chance you will perform an additional hit that deals 70 physical damage."
Clearing the Path,Blade,Melee,Crossing River's Edge,27,,Active - Consumer,,,,,,,1000,0,Damage,,,"PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Consumes all Blade Resources. A PBAoE attack that deals 42 - 86 physical damage, based on the number of resources consumed. This attack has a 40% additional chance to penetrate any Afflicted targets it hits."
Voracity,Blade,Melee,Crossing River's Edge,34,,Passive,,,,,,,N/A,N/A,N/A,,,Increases Penetrarion Chance of Frenzy abilities by 7.5%
Master's House,Blade,Melee,Crossing River's Edge,50,Self-Buff,Active - Elite,,,,,,,0,35000,Support,,,"Creates a 15 metre radius area at your feet, which last for 10 seconds. While you are inside this area, your movement speed is increased by 25%, damage is increased by 20%, and you are immune to root and snare effects. This ability does not trigger and is not affected by global recharge time."
Brandish,Blade,Melee,Runing of the Jagged,9,,Active - Consumer,,,,,,,2500,10000,"Damage, Survivability",,,"Channelled: Every 0.5 seconds for 2.5 seconds. Consumes all Blade Resources. A channelled Focus attack that deals 41 - 59 physical damage per hit, based on the number of resources consumed. While you channel, you take 5% less damage per resource spent. This ability generates additional hate."
Brandishing Support,Blade,Melee,Runing of the Jagged,12,,Passive,,,,,,,N/A,N/A,N/A,,,"""Brandish"" also increases your Defence Rating by 40 per resource spent while you channel. Its recharge time is reduced by 5 seconds."
